Date,Close,Change,Gain,Loss,Avg Gain,Avg Loss,RS,RSI
14-Dec-09,44.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15-Dec-09,44.09,-0.25,0.00,0.25,0.00,0.00,0.00,0.00
16-Dec-09,44.15,0.06,0.06,0.00,0.00,0.00,0.00,0.00
17-Dec-09,43.61,-0.54,0.00,0.54,0.00,0.00,0.00,0.00
18-Dec-09,44.33,0.72,0.72,0.00,0.00,0.00,0.00,0.00
21-Dec-09,44.83,0.50,0.50,0.00,0.00,0.00,0.00,0.00
22-Dec-09,45.10,0.27,0.27,0.00,0.00,0.00,0.00,0.00
23-Dec-09,45.42,0.32,0.32,0.00,0.00,0.00,0.00,0.00
24-Dec-09,45.84,0.42,0.42,0.00,0.00,0.00,0.00,0.00
28-Dec-09,46.08,0.24,0.24,0.00,0.00,0.00,0.00,0.00
29-Dec-09,45.89,-0.19,0.00,0.19,0.00,0.00,0.00,0.00
30-Dec-09,46.03,0.14,0.14,0.00,0.00,0.00,0.00,0.00
31-Dec-09,45.61,-0.42,0.00,0.42,0.00,0.00,0.00,0.00
04-Jan-09,46.28,0.67,0.67,0.00,0.00,0.00,0.00,0.00
05-Jan-09,46.28,0.00,0.00,-0.00,0.24,0.10,2.39,70.46
06-Jan-09,46.00,-0.28,0.00,0.28,0.22,0.11,1.96,66.25
07-Jan-09,46.03,0.03,0.03,0.00,0.21,0.10,1.98,66.48
08-Jan-09,46.41,0.38,0.38,0.00,0.22,0.10,2.26,69.35
11-Jan-09,46.22,-0.19,0.00,0.19,0.20,0.10,1.97,66.29
12-Jan-09,45.64,-0.58,0.00,0.58,0.19,0.14,1.38,57.92
13-Jan-09,46.21,0.57,0.57,0.00,0.22,0.13,1.69,62.88
14-Jan-09,46.25,0.04,0.04,0.00,0.20,0.12,1.72,63.21
15-Jan-09,45.71,-0.54,0.00,0.54,0.19,0.15,1.27,56.01
19-Jan-09,46.45,0.74,0.74,0.00,0.23,0.14,1.66,62.34
20-Jan-09,45.78,-0.67,0.00,0.67,0.21,0.18,1.21,54.67
21-Jan-09,45.35,-0.43,0.00,0.43,0.20,0.19,1.02,50.39
22-Jan-09,44.03,-1.32,0.00,1.32,0.18,0.27,0.67,40.02
25-Jan-09,44.18,0.15,0.15,0.00,0.18,0.26,0.71,41.49
26-Jan-09,44.22,0.04,0.04,0.00,0.17,0.24,0.72,41.90
27-Jan-09,44.57,0.35,0.35,0.00,0.18,0.22,0.83,45.50
28-Jan-09,43.42,-1.15,0.00,1.15,0.17,0.29,0.60,37.32
29-Jan-09,42.66,-0.76,0.00,0.76,0.16,0.32,0.49,33.09
