Date,High,Low,Hisgest High,Lowest Low,close,kline,Stoch Osc
10-Feb-23,127.01,125.36
10-Feb-24,127.62,126.16
10-Feb-25,126.59,124.93
10-Feb-26,127.35,126.09
10-Mar-01,128.17,126.82
10-Mar-02,128.43,126.48
10-Mar-03,127.37,126.03
10-Mar-04,126.42,124.83
10-Mar-05,126.90,126.39
10-Mar-08,126.85,125.72
10-Mar-09,125.65,124.56
10-Mar-10,125.72,124.57
10-Mar-11,127.16,125.07
10-Mar-12,127.72,126.86
10-Mar-15,127.69,126.63,128.43,124.56,127.18,67.70,0.00
10-Mar-16,128.22,126.80,128.43,124.56,128.01,89.15,0.00
10-Mar-17,128.27,126.71,128.43,124.56,127.11,65.89,0.00
10-Mar-18,128.09,126.80,128.43,124.56,127.73,81.91,78.98
10-Mar-19,128.27,126.13,128.43,124.56,127.06,64.60,70.80
10-Mar-22,127.74,125.92,128.27,124.56,127.33,74.66,73.72
10-Mar-23,128.77,126.99,128.77,124.56,128.71,98.57,79.28
10-Mar-24,129.29,127.81,129.29,124.56,127.87,69.98,81.07
10-Mar-25,130.06,128.47,130.06,124.56,128.58,73.09,80.55
10-Mar-26,129.12,128.06,130.06,124.56,128.60,73.45,72.17
10-Mar-29,129.29,127.61,130.06,124.57,127.93,61.20,69.25
10-Mar-30,128.47,127.60,130.06,125.07,128.11,60.92,65.19
10-Mar-31,128.09,127.00,130.06,125.92,127.60,40.58,54.23
10-Apr-01,128.65,126.90,130.06,125.92,127.60,40.58,47.36
10-Apr-05,129.14,127.49,130.06,125.92,128.69,66.91,49.36
10-Apr-06,128.64,127.40,130.06,125.92,128.27,56.76,54.75
